question,reponse
Quelle est la capitale de la France ?,Paris
Quel est l'animal le plus rapide du monde ?,Guepard
Quelle est la couleur du soleil ?,Jaune
Combien de planetes gravitent autour du soleil dans notre systeme solaire ?,Huit
Quelle est la plus haute montagne du monde ?,Mont Everest
Quelle est la langue la plus parlee dans le monde ?,Chinois mandarin
Quelle est la devise des etats-Unis ?,Dollar americain
Qui a peint la Joconde ?,Leonard de Vinci
Quelle est la duree approximative d'une annee bissextile ?,366 jours
Quel est le symbole chimique de l'oxygene ?,O
